W,F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
12,8,4,76.78130665,0.127049105,76.65425754,76.90835575,5887659054,70066.89464,76.90835575,76.65425754,,5887729120,5887588987,
16,8,8,84.11590667,0.69243825,83.42346842,84.80834492,5887932181,101703.9139,84.80834492,83.42346842,,5887830477,5888033884,
32,8,24,115.9762448,0.008036605,115.9682082,115.9842814,5888855840,23228.64953,115.9842814,115.9682082,,5888879069,5888832612,
24,8,16,100.0625731,0.8174805,99.24509263,100.8800536,5888962804,273354.4106,100.8800536,99.24509263,,5888689450,5889236159,
20,8,12,92.63053581,0.007010396,92.62352542,92.63754621,5889227795,40673.78074,92.62352542,92.63754621,,5889187122,5889268469,
28,8,20,109.2280606,0.279761396,108.9482992,109.507822,5890044158,227466.1959,109.507822,108.9482992,,5889816692,5890271624,
40,20,20,91.84829794,0.144140813,91.70415712,91.99243875,5917140556,997769.1271,91.99243875,91.70415712,,5916142787,5918138325,
24,20,4,80.65395942,0.261242708,80.39271671,80.91520212,5917210593,2610.463436,80.39271671,80.91520212,,5917213204,5917207983,
36,20,16,88.59382612,0.189353709,88.40447242,88.78317983,5917218825,5600.181365,88.78317983,88.40447242,,5917213225,5917224425,
44,20,24,97.16795771,0.007085833,97.16087188,97.17504354,5919369489,345764.5345,97.17504354,97.16087188,,5919023725,5919715254,
40,24,16,88.57815535,0.292026646,88.28612871,88.870182,5919405963,1025638.563,88.870182,88.28612871,,5918380325,5920431602,
28,20,8,82.94929827,0.099710313,82.84958796,83.04900858,5919433682,2772437.129,82.84958796,83.04900858,,5922206119,5916661245,
28,24,4,77.61407331,0.840073687,76.77399962,78.454147,5919634078,550593.5093,78.454147,76.77399962,,5919083484,5920184671,
32,24,8,80.14020744,0.229028395,79.91117904,80.36923583,5919688647,339503.6646,80.36923583,79.91117904,,5919349144,5920028151,
32,20,12,85.86416627,0.318380104,85.54578617,86.18254637,5920283269,3697402.993,86.18254637,85.54578617,,5923980672,5916585866,
36,24,12,84.30500456,0.299357229,84.00564733,84.60436179,5920323572,764171.409,84.60436179,84.00564733,,5921087743,5919559400,
48,24,24,92.43187344,0.693662021,91.73821142,93.12553546,5920727583,679575.877,91.73821142,93.12553546,,5921407159,5920048008,
44,24,20,93.10769687,0.384494917,92.72320196,93.49219179,5921336128,531342.1974,92.72320196,93.49219179,,5920804786,5921867471,
36,16,20,94.28596217,0.125537167,94.160425,94.41149933,5925273289,553668.6834,94.41149933,94.160425,,5924719620,5925826957,
40,16,24,99.37476485,0.437579062,98.93718579,99.81234392,5926308798,437578.5514,99.81234392,98.93718579,,5925871219,5926746377,
28,16,12,85.9125529,0.14339448,85.76915842,86.05594738,5929264659,324574.8249,86.05594738,85.76915842,,5928940084,5929589233,
24,16,8,82.39193312,0.428209875,81.96372325,82.820143,5929271432,431375.1701,81.96372325,82.820143,,5928840056,5929702807,
32,16,16,89.93935427,0.313952438,89.62540183,90.25330671,5929842739,1065914.925,89.62540183,90.25330671,,5930908654,5928776824,
20,16,4,77.57775085,0.000660438,77.57709042,77.57841129,5930196298,280491.4157,77.57841129,77.57709042,,5929915806,5930476789,
36,12,24,102.4188323,1.141144084,101.2776882,103.5599764,5940361685,1209612.672,103.5599764,101.2776882,,5939152073,5941571298,
32,12,20,97.39566725,0.395625958,97.00004129,97.79129321,5940676920,373317.8253,97.00004129,97.79129321,,5940303602,5941050238,
16,12,4,74.99300423,0.466024145,74.52698008,75.45902837,5941083396,44476.48499,74.52698008,75.45902837,,5941127872,5941038919,
28,12,16,91.1579074,0.345573729,90.81233367,91.50348112,5941578039,110216.4474,90.81233367,91.50348112,,5941688255,5941467822,
24,12,12,85.76328221,0.296126624,85.46715558,86.05940883,5943289157,52727.36188,85.46715558,86.05940883,,5943236430,5943341885,
20,12,8,80.46433644,0.71689473,79.74744171,81.18123117,5943587266,742781.7404,79.74744171,81.18123117,,5942844485,5944330048,
28,4,24,174.3265065,0.402373041,173.9241335,174.7288795,5955463514,66135.56505,174.7288795,173.9241335,,5955529650,5955397379,
24,4,20,157.0031763,0.586086333,156.41709,157.5892627,5956434371,99446.10567,157.5892627,156.41709,,5956334925,5956533817,
20,4,16,142.5567089,0.042261084,142.5144478,142.59897,5957177710,202.1632667,142.59897,142.5144478,,5957177912,5957177508,
16,4,12,128.7315997,0.291667979,128.4399317,129.0232677,5958150590,0,129.0232677,128.4399317,,5958150590,5958150590,
12,4,8,111.2314144,0.371122146,110.8602922,111.6025365,5958833866,38848.77622,110.8602922,111.6025365,,5958795017,5958872715,
8,4,4,91.68801654,1.861518333,89.82649821,93.54953487,5961465436,0,89.82649821,93.54953487,,5961465436,5961465436,